宗地坐落,土地用途,宗地面积(平方米),挂牌起始价(万元),lon,lat,交通_地铁数量(1.5km),交通_地铁最近距离(m),交通_公交数量(0.5km),交通_公交最近距离(m),交通_停车数量(1km),交通_停车最近距离(m),交通_火车数量(3km),交通_火车最近距离(m),交通_便利评分(0-10),价格_万元/㎡,context
广州市增城区中新镇广汕南路南侧,一类工业用地(M1),23333.56,3360.0,113.62775,23.29492,10,118.78,3,392.85,10,147.48,0,inf,5.91,0.143999,该地块位于广州市增城区中新镇广汕南路南侧，用途为一类工业用地(M1)，用地面积23334平方米，起始价3360万元。周边1.5公里内有10个地铁站点，最近距离118.78米；0.5公里内有3个公交站点，最近距离392.85米；1公里内有10个停车设施，最近距离147.48米。交通便利评分5.91分，单位面积价格约0.144万元/平方米。
广州市花都区沿江大道以南、东风大道以东G09QOC01,一类工业用地,27297.91,3643.0,113.13664,23.36357,0,inf,2,147.15,10,104.26,0,inf,2.74,0.133453,该地块位于广州市花都区沿江大道以南、东风大道以东，用途为一类工业用地，面积27298平方米，起始价3643万元。交通便利性评分为2.74分，周边500米内有2个公交站点，最近距离147.15米，1公里内有10个停车设施，最近距离104.26米。单位面积价格约为0.133453万元/平方米。
广州市花都区培正大道以东，赤妮大道以北赤妮大道北二地块A,一类工业用地,13699.99,1714.0,113.10273,23.40555,0,inf,0,inf,7,57.32,0,inf,1.47,0.12511,该地块位于广州市花都区培正大道以东、赤妮大道以北，用途为一类工业用地，面积13700平方米，起始价1714万元。交通便利性评分为1.47分，1公里内有7个停车设施，最近距离57.32米，单位面积价格约0.125万元/平方米。
广州市花都区培正大道以东，赤妮大道以北赤妮大道北二地块B,一类工业用地,12110.49,1508.0,113.10273,23.40555,0,inf,0,inf,7,57.32,0,inf,1.47,0.12452,位于广州市花都区培正大道以东、赤妮大道以北，用途为一类工业用地，用地面积12110平方米，起始价1508万元。交通便利性评分1.47分，1公里内有7个停车设施，最近距离57.32米，单位面积价格约0.1245万元/平方米。
广州市花都区金狮大道以北、盘古北路以东会狮大道北一分地块一,一类工业用地,21671.19,3029.0,113.16176,23.4787,0,inf,3,147.32,10,174.58,2,2156.52,4.78,0.139771,该地块位于广州市花都区金狮大道以北、盘古北路以东，用途为一类工业用地，面积21671平方米，起始价3029万元。周边500米内有3个公交站点，最近距离147.32米，1公里内有10个停车场，最近距离174.58米，3公里内有2个火车站，最近距离2156.52米，交通便利评分4.78分，单位面积价格约0.14万元/平方米。
广州市花都区金御大道以北、盘古北路以东金狮大道北一分地块二,一类工业用地,13400.02,2024.0,113.15642,23.47308,4,1400.74,1,424.71,10,86.06,2,1421.85,6.12,0.151045,该地块位于广州市花都区金御大道以北、盘古北路以东，用途为一类工业用地，面积13400平方米，起始价2024万元。交通便利性评分为6.12分，1.5公里内有4个地铁站，最近距离1400.74米；0.5公里内有1个公交站，最近距离424.71米；1公里内有10个停车场，最近距离86.06米；3公里内有2个火车站，最近距离1421.85米。单位面积价格约0.151万元/平方米。
白云区江高镇广州轨道交通装备产业园ABO101013地块,二类居住用地(R2),30081.0,43305.63,113.19506,23.33978,1,211.74,5,148.41,10,131.3,0,inf,5.88,1.439634,该地块位于白云区江高镇广州轨道交通装备产业园，用途为二类居住用地，面积30081平方米，起始价43305.63万元。交通便利性评分为5.88分，1.5公里内有1个地铁站，最近距离211.74米；0.5公里内有5个公交站，最近距离148.41米；1公里内有10个停车场，最近距离131.3米。单位面积价格约1.44万元/平方米。
石碁镇SQ17G-01海涌路东侧地块三,一类工业用地(M1),60297.14,13844.2233,113.45941,22.95488,8,546.08,0,inf,0,inf,0,inf,2.99,0.2296,石碁镇SQ17G-01海涌路东侧地块三位于广州市番禺区，用途为一类工业用地(M1)，用地面积60297平方米，起始价13844.22万元。地块周边1.5公里内有8个地铁站点，最近距离546.08米，交通便利评分2.99分，单位面积价格约0.23万元/平方米。
广州市罗家湾大道西广场东侧600m,一类工业用地(M1),33386.0,7500.0,113.34573,22.91021,0,inf,0,inf,10,114.81,0,inf,1.43,0.224645,该地块位于广州市罗家湾大道西广场东侧600米处，用途为一类工业用地(M1)，用地面积33386平方米，起始价7500万元。交通便利性较低，评分1.43分，1公里内有10个停车设施，最近距离114.81米，单位面积价格约0.225万元/平方米。
广州市黄埔区HBS-G2-10地块,一类工业用地兼容二类工业用地(M1/M2),496172.06,11771.0,113.48707,23.18749,10,370.76,0,inf,0,inf,0,inf,3.15,0.023724,位于广州市黄埔区，用途为一类工业用地兼容二类工业用地，用地面积约496172平方米，起始价11771万元。交通便利性评分为3.15分，1.5公里内有10个地铁站点，最近距离370.76米，单位面积价格约0.023724万元/平方米。
广州市增城区新江街广南公路旁,商业服务业设施用地(B),11453.28,2000.0,113.81755,23.26659,0,inf,3,196.41,10,3.01,0,inf,3.01,0.174622,该地块位于广州市增城区新江街广南公路旁，用途为商业服务业设施用地，面积11453平方米，起始价2000万元。周边500米内有3个公交站点，最近距离196.41米，1公里内有10个停车场，最近距离3.01米，交通便利评分3.01分，单位面积价格约0.17万元/平方米。
白云区黄岩村绿中村改造项目开发用地HZN0403地块,二类居住用地(R2),21111.0,13581.0,113.27943,23.16432,0,inf,10,105.92,10,36.16,10,968.51,5.94,0.643314,该地块位于白云区黄岩村绿中村改造项目，用途为二类居住用地，面积21111平方米，起始价13581万元。交通便利性评分为5.94分，周边500米内有10个公交站点，最近距离105.92米，1公里内有10个停车场，最近距离36.16米，3公里内有10个火车站，最近距离968.51米。单位面积价格约0.64万元/平方米。
广州市黄埔区KXDG-EC-4地块,一类工业用地(M1),59500.0,5725.0,113.48707,23.18749,10,370.76,0,inf,0,inf,0,inf,3.15,0.096218,位于广州市黄埔区，用途为一类工业用地(M1)，用地面积约59500㎡，起始价5725.00万元。地块邻近地铁，1.5公里内有10个站点，最近距离约370.76米，交通便利评分3.15分，单位面积价格约0.096万元/㎡。
广州市南沙区万南沙新区片区红树林南侧地块,三类工业用地(K),10159.0,639.0,113.57339,22.80493,0,inf,3,153.99,10,116.33,0,inf,3.02,0.0629,该地块位于广州市南沙区万南沙新区片区红树林南侧，用途为三类工业用地，面积10159平方米，起始价639万元。交通便利性评分为3.02分，周边500米内有3个公交站点，最近距离154米；1公里内有10个停车场，最近距离116米。单位面积价格约为0.0629万元/平方米。
高新区西口二层1090、1063B104地块,未明确,20593.0,35012.0,113.48712,23.18754,0,inf,4,302.71,0,inf,0,inf,1.59,1.700189,该地块位于高新区西口，用途未明确，用地面积20593平方米，起始价35012万元。周边500米内有4个公交站点，最近距离302.71米，交通便利评分1.59分，单位面积价格约1.70万元/平方米。
广州市花都区风景名胜路1号，三环路北段112-3702号地块内,一类工业用地,11376.23,1632.0,113.22658,23.41116,0,inf,0,inf,0,inf,0,inf,0.0,0.143457,位于广州市花都区风景名胜路1号三环路北段112-3702号地块内，用途为一类工业用地，用地面积11376平方米，起始价1632万元。交通便利性评分为0.00分，单位面积价格约0.143万元/平方米。
广州市增城区石碑镇东兴大道北侧,一类工业用地(M),20000.06,2643.0,113.34233,23.40943,0,inf,0,inf,6,308.91,0,inf,1.31,0.13215,位于广州市增城区石碑镇东兴大道北侧，用途为一类工业用地，用地面积20000平方米，起始价2643万元。交通便利性评分1.31分，1公里内有6个停车设施，最近距离308.91米，单位面积价格约0.132万元/平方米。
广州市黄埔区YBG-CC-13地块,二类工业用地(M2),6425.29,537.0,113.48707,23.18749,10,370.76,0,inf,0,inf,0,inf,3.15,0.083576,位于广州市黄埔区，用途为二类工业用地，用地面积6425平方米，起始价537万元。交通便利性评分为3.15分，1.5公里内有10个地铁站点，最近距离370.76米。单位面积价格约0.083576万元/平方米。
花都区绿地规划局，新四路民用住宅A081101地块,二类居住用地,3113.38,1312.0,113.60614,23.22932,0,inf,0,inf,0,inf,0,inf,0.0,0.421407,该地块位于花都区新四路，用途为二类居住用地，用地面积3113平方米，起始价1312万元。交通便利性评分为0.00分，周边无地铁、公交或停车设施，单位面积价格约0.421万元/平方米。
石墨镇石墨村东侧C47-67地块,一类工业用地(M1),40611.0,6515.169,113.27143,23.13534,0,inf,0,inf,10,88.98,0,inf,1.45,0.160429,该地块位于石墨镇石墨村东侧，用途为一类工业用地，用地面积约40611平方米，起始价6515.17万元。交通便利性较低，评分1.45分，1公里内有10个停车点，最近距离约89米。单位面积价格约0.160429万元/平方米。
石墨镇石墨村东侧C49-60地块,一类工业用地(M1),40612.0,15313.654,113.27143,23.13534,0,inf,0,inf,10,88.98,0,inf,1.45,0.377072,该地块位于石墨镇石墨村东侧，用途为一类工业用地，面积40612平方米，起始价15313.65万元。周边1公里内有10个停车设施，最近距离88.98米，交通便利评分1.45分，单位面积价格约0.377万元/平方米。
广州市花都区花都大道北段1号（TZ）地块,一类工业用地(M1),40424.0,7265.0,113.22658,23.41116,0,inf,0,inf,0,inf,0,inf,0.0,0.17972,位于广州市花都区花都大道北段1号，用途为一类工业用地，用地面积约40424平方米，起始价7265万元。交通便利性评分为0.00分，单位面积价格约0.18万元/平方米。
从化区到花都区花都大道西段1号（TZ）地块,二类工业用地(M2),23712.6,2955.0,113.23725,23.42946,6,490.29,4,80.66,10,55.29,0,inf,6.55,0.124617,该地块位于从化区到花都区花都大道西段1号，用途为二类工业用地，面积23713平方米，起始价2955万元。交通便利性评分为6.55分，1.5公里内有6个地铁站，最近距离490.29米；0.5公里内有4个公交站，最近距离80.66米；1公里内有10个停车场，最近距离55.29米。单位面积价格约为0.124617万元/平方米。
中新广州知识城第一代信息技术创新园，南华三路以南，科联东路以东ZSCXN-B3-13-1地块,一类工业用地(M1),14828.0,617.0,113.62775,23.29492,10,118.78,3,392.85,10,147.48,0,inf,5.91,0.04161,该地块位于中新广州知识城第一代信息技术创新园，南华三路以南、科联东路以东，用途为一类工业用地(M1)，用地面积14828平方米，起始价617万元。周边交通便利，1.5公里内有10个地铁站，最近距离118.78米，0.5公里内有3个公交站，最近距离392.85米，1公里内有10个停车场，最近距离147.48米，交通便利评分5.91分，单位面积价格约0.04161万元/平方米。
广州市花都区许厂高速南路、新联路以西狮岭时尚智造产业园一期C,一类工业用地M1,19646.44,3892.0,113.1828,23.43172,0,inf,3,266.33,0,inf,0,inf,1.37,0.198102,该地块位于广州市花都区许厂高速南路、新联路以西，用途为一类工业用地M1，用地面积19646平方米，起始价3892万元。交通便利性评分为1.37分，周边500米内有3个公交站点，最近距离266.33米，单位面积价格约0.198万元/平方米。
广州市花都区许广高速南路、新联路以西跨岭时尚智造产业园一期B,一类工业用地M1,8715.53,1052.0,113.1828,23.43172,0,inf,3,266.33,0,inf,0,inf,1.37,0.120704,该地块位于广州市花都区许广高速南路、新联路以西，用途为一类工业用地M1，用地面积8716平方米，起始价1052万元。交通便利性较低，评分1.37分，周边500米内有3个公交站点，最近距离266.33米，单位面积价格约0.12万元/平方米。
广州市花都区许广高速南路、新联路以西两岭时尚智造产业园一期B,一类工业用地M1,8715.53,1052.0,113.1828,23.43172,0,inf,3,266.33,0,inf,0,inf,1.37,0.120704,该地块位于广州市花都区许广高速南路、新联路以西，用途为一类工业用地M1，用地面积8716平方米，起始价1052万元。周边500米内有3个公交站点，最近距离266.33米，交通便利评分1.37分，单位面积价格约0.12万元/平方米。
广州市花都区许广高速南、新联路以西侧临时尚智造产业园一期A,一类工业用地M1,21796.72,3328.0,113.1828,23.43172,0,inf,3,266.33,0,inf,0,inf,1.37,0.152684,该地块位于广州市花都区许广高速南、新联路以西侧，用途为一类工业用地M1，用地面积21797平方米，起始价3328万元。交通便利性较低，评分1.37分，500米内有3个公交站点，最近距离266.33米，单位面积价格约0.153万元/平方米。
荔湾区石围塘A70107048地块,二类居住用地B2,9007.07,50574.0,113.21913,23.11756,0,inf,8,108.9,10,85.72,2,1537.77,5.72,5.614922,该地块位于荔湾区石围塘，用途为二类居住用地B2，用地面积9007平方米，起始价50574万元。周边500米内有8个公交站点，最近距离108.9米，1公里内有10个停车场，最近距离85.72米，3公里内有2个火车站，最近距离1537.77米，交通便利评分5.72分，单位面积价格约5.61万元/平方米。
