宗地坐落,土地用途,宗地面积(平方米),挂牌起始价(万元),lon,lat,交通_地铁数量(1.5km),交通_地铁最近距离(m),交通_地铁站名,交通_公交数量(0.5km),交通_公交最近距离(m),交通_停车数量(1km),交通_停车最近距离(m),交通_火车数量(5km),交通_火车最近距离(m),交通_火车站名,交通_高速数量(5km),交通_高速最近距离(m),交通_便利评分(0-10),生活_银行数量(1km),生活_银行最近距离(m),生活_超市数量(1km),生活_超市最近距离(m),生活_餐饮数量(0.5km),生活_餐饮最近距离(m),生活_医院数量(3km),生活_医院最近距离(m),生活_医院名称,生活_药店数量(1km),生活_药店最近距离(m),生活_便利评分(0-10),教育_高校数量(5km),教育_高校最近距离(m),教育_高校名称,教育_中小学数量(2km),教育_中小学最近距离(m),教育_资源评分(0-10),产业_物流园数量(5km),产业_物流最近距离(m),产业_工业园数量(5km),产业_工业园最近距离(m),产业_配套评分(0-10),商业_写字楼数量(2km),商业_写字楼最近距离(m),商业_酒店数量(2km),商业_酒店最近距离(m),商业_环境评分(0-10),context,价格_万元/㎡
广州市增城区中新镇广汕南路南侧,一类工业用地(M1),23333.56,3360.0,113.62775,23.29492,0,,,1,205.0,3,260,1,3730.0,镇龙站(建设中),0,,3.3,1,669.0,1,725.0,15,206.0,2,1390.0,中新医院|广东龙城医院,3,239.0,8.5,7,1825.0,理工学院|广东农工商职业技术学院(增城校区)|广东农工商职业技术学院艺术与设计学院,3,269.0,9.0,25,142,0,,4.0,7,1193.0,25,225.0,7.0,该地块位于广州市增城区中新镇广汕南路南侧，用途为一类工业用地(M1)，面积23334平方米，起始价3360万元。交通：500米内有1个公交站；5公里内有1个火车站。交通便利评分3.3分。生活配套：500米内有15家餐饮；1公里内有1家超市；3公里内有2家医院。5公里内有7所高校。周边5公里内有25个物流园区。单位面积价格约0.1440万元/平方米。,0.1439986011564459
广州市花都区沿江大道以南、东风大道以东G09QOC01,一类工业用地,27297.91,3643.0,113.13664,23.36357,0,,,4,148.0,17,71,1,3664.0,炭步站(建设中),0,,4.1,0,,5,369.0,11,66.0,2,2322.0,颐康服务站|秀全社区卫生服务中心,6,365.0,7.5,2,3547.0,东风日产学习中心|广州民航职业技术学院(花都赤坭校区),0,,6.0,25,44,6,3259.0,8.0,6,571.0,25,362.0,7.0,该地块位于广州市花都区沿江大道以南、东风大道以东G09QOC01，用途为一类工业用地，面积27298平方米，起始价3643万元。交通：500米内有4个公交站；5公里内有1个火车站。交通便利评分4.1分。生活配套：500米内有11家餐饮；1公里内有5家超市；3公里内有2家医院。5公里内有2所高校。周边5公里内有25个物流园区、6个工业园区。单位面积价格约0.1335万元/平方米。,0.13345344020842623
广州市花都区培正大道以东，赤妮大道以北赤妮大道北二地块A,一类工业用地,13699.99,1714.0,113.10273,23.40555,0,,,0,,4,345,0,,,0,,0.8,0,,0,,2,226.0,0,,,0,,2.0,3,1109.0,广州民航职业技术学院(花都赤坭校区)|广东培正学院艺术设计系|广东培正学院,1,1470.0,8.0,25,215,0,,4.0,1,1097.0,25,222.0,6.0,该地块位于广州市花都区培正大道以东，赤妮大道以北赤妮大道北二地块A，用途为一类工业用地，面积13700平方米，起始价1714万元。交通便利评分0.8分。生活配套：500米内有2家餐饮。5公里内有3所高校。周边5公里内有25个物流园区。单位面积价格约0.1251万元/平方米。,0.1251095803719565
广州市花都区培正大道以东，赤妮大道以北赤妮大道北二地块B,一类工业用地,12110.49,1508.0,113.10273,23.40555,0,,,0,,4,345,0,,,0,,0.8,0,,0,,2,226.0,0,,,0,,2.0,3,1109.0,广州民航职业技术学院(花都赤坭校区)|广东培正学院艺术设计系|广东培正学院,1,1470.0,8.0,25,215,0,,4.0,1,1097.0,25,222.0,6.0,该地块位于广州市花都区培正大道以东，赤妮大道以北赤妮大道北二地块B，用途为一类工业用地，面积12110平方米，起始价1508万元。交通便利评分0.8分。生活配套：500米内有2家餐饮。5公里内有3所高校。周边5公里内有25个物流园区。单位面积价格约0.1245万元/平方米。,0.12452014740939467
广州市花都区金狮大道以北、盘古北路以东会狮大道北一分地块一,一类工业用地,21671.19,3029.0,113.16176,23.4787,0,,,0,,10,271,2,2814.0,军田站|狮岭站(进站口),0,,2.1,0,,9,411.0,10,181.0,10,1400.0,玉峰社区卫生服务站|狮岭宝峰社区卫生服务中心|花都区第二人民医院预防接种门诊,8,333.0,8.0,13,4607.0,广州工商学院-新工科实验教学中心|广州工商学院-器材区|广州工商学院驾驶培训学院,5,808.0,9.0,25,66,0,,4.0,24,239.0,25,315.0,7.0,该地块位于广州市花都区金狮大道以北、盘古北路以东会狮大道北一分地块一，用途为一类工业用地，面积21671平方米，起始价3029万元。交通：5公里内有2个火车站。交通便利评分2.1分。生活配套：500米内有10家餐饮；1公里内有9家超市；3公里内有10家医院。5公里内有13所高校。周边5公里内有25个物流园区。单位面积价格约0.1398万元/平方米。,0.1397708201533926
广州市花都区金御大道以北、盘古北路以东金狮大道北一分地块二,一类工业用地,13400.02,2024.0,113.15642,23.47308,0,,,2,228.0,20,112,2,1985.0,军田站|狮岭站(进站口),0,,4.1,1,808.0,11,76.0,25,4.0,10,1133.0,花都区狮岭镇社区卫生服务中心|花都区第二人民医院预防接种门诊|广州市花都区第二人民医院,19,101.0,9.0,25,4325.0,广州工商学院-新工科实验教学中心|广州工商学院驾驶培训学院|广州工商学院-器材区,6,307.0,9.0,25,49,0,,4.0,25,209.0,25,78.0,7.0,该地块位于广州市花都区金御大道以北、盘古北路以东金狮大道北一分地块二，用途为一类工业用地，面积13400平方米，起始价2024万元。交通：500米内有2个公交站；5公里内有2个火车站。交通便利评分4.1分。生活配套：500米内有25家餐饮；1公里内有11家超市；3公里内有10家医院。5公里内有25所高校。周边5公里内有25个物流园区。单位面积价格约0.1510万元/平方米。,0.1510445506797751
白云区江高镇广州轨道交通装备产业园ABO101013地块,二类居住用地(R2),30081.0,43305.63,113.19506,23.33978,0,,,0,,19,247,6,2539.0,郭塘站|一站台(广州北站)|二站台(广州北站),0,,2.1,0,,6,391.0,0,,7,1204.0,江高镇卫生院|郭塘村卫生站|花都新街社区卫生服务中心,10,623.0,5.0,3,3191.0,广东交通职业技术学院(花都校区)继续教育学院|广东交通职业技术学院(花都校区)|广东省高级技工学校广州校区(南门),4,1420.0,9.0,25,72,1,4164.0,7.0,6,124.0,17,620.0,7.0,该地块位于白云区江高镇广州轨道交通装备产业园ABO101013地块，用途为二类居住用地(R2)，面积30081平方米，起始价43306万元。交通：5公里内有6个火车站。交通便利评分2.1分。生活配套：1公里内有6家超市；3公里内有7家医院。5公里内有3所高校。周边5公里内有25个物流园区、1个工业园区。单位面积价格约1.4396万元/平方米。,1.4396339882317741
石碁镇SQ17G-01海涌路东侧地块三,一类工业用地(M1),60297.14,13844.2233,113.45941,22.95488,4,648.0,石碁地铁站B口|石碁(地铁站)|海涌路地铁站B口,2,101.0,19,52,1,3335.0,官桥北站(B2进站口)(暂停营业),0,,7.4,1,354.0,6,151.0,25,41.0,16,717.0,石碁镇社区卫生服务中心-发热门诊|番禺区石碁镇社区卫生服务中心|番禺区南浦村杨荣瀚社区卫生服务站,8,200.0,9.0,7,841.0,广东女子职业技术学院(番禺校区)|广东女子职业技术学院南沙分教点(东北门)|南华艺术院,4,475.0,9.0,25,32,0,,4.0,25,293.0,25,101.0,7.0,该地块位于石碁镇SQ17G-01海涌路东侧地块三，用途为一类工业用地(M1)，面积60297平方米，起始价13844万元。交通：1.5公里内有4个地铁站，最近648米；500米内有2个公交站；5公里内有1个火车站。交通便利评分7.4分。生活配套：500米内有25家餐饮；1公里内有6家超市；3公里内有16家医院。5公里内有7所高校。周边5公里内有25个物流园区。单位面积价格约0.2296万元/平方米。,0.22959999927028046
广州市罗家湾大道西广场东侧600m,一类工业用地(M1),33386.0,7500.0,113.34573,22.91021,0,,,5,408.0,15,47,0,,,0,,3.1,6,388.0,3,196.0,25,29.0,23,557.0,番禺区第三人民医院|番禺区沙湾街社区卫生服务中心|广州市番禺区沙湾人民医院住院部,25,21.0,9.0,22,2387.0,中奥到家集团白金管家学院|广州番禺职业技术学院工商管理系|广州职业技术大学五号教学楼财经学院,12,227.0,9.0,25,82,0,,4.0,25,116.0,25,37.0,7.0,该地块位于广州市罗家湾大道西广场东侧600m，用途为一类工业用地(M1)，面积33386平方米，起始价7500万元。交通：500米内有5个公交站。交通便利评分3.1分。生活配套：500米内有25家餐饮；1公里内有3家超市；3公里内有23家医院。5公里内有22所高校。周边5公里内有25个物流园区。单位面积价格约0.2246万元/平方米。,0.2246450608039298
广州市黄埔区HBS-G2-10地块,一类工业用地兼容二类工业用地(M1/M2),496172.06,11771.0,113.48707,23.18749,6,739.0,水西地铁站B口|水西(地铁站)|萝岗地铁站F口,6,140.0,14,107,0,,,0,,6.9,2,305.0,7,381.0,8,119.0,25,390.0,黄埔区萝岗街社区卫生服务中心|长岭街和苑南社区颐康服务站|联创明医中医医院,12,289.0,9.0,3,1819.0,北京师范大学广州实验学校中学部游泳馆|北京师范大学广州实验学校|广东药科大学教学基地,2,1093.0,8.0,25,501,1,4715.0,7.0,25,562.0,25,534.0,7.0,该地块位于广州市黄埔区HBS-G2-10地块，用途为一类工业用地兼容二类工业用地(M1/M2)，面积496172平方米，起始价11771万元。交通：1.5公里内有6个地铁站，最近739米；500米内有6个公交站。交通便利评分6.9分。生活配套：500米内有8家餐饮；1公里内有7家超市；3公里内有25家医院。5公里内有3所高校。周边5公里内有25个物流园区、1个工业园区。单位面积价格约0.0237万元/平方米。,0.02372362522790985
广州市增城区新江街广南公路旁,商业服务业设施用地(B),11453.28,2000.0,113.81755,23.26659,2,1192.0,增城广场地铁站C口|增城广场(地铁站),2,174.0,15,166,0,,,0,,5.6,2,634.0,1,939.0,1,167.0,4,1464.0,广州市增城区中医医院急诊|广州市增城区中医医院|广州市增城区中医医院治未病中心,1,984.0,7.5,9,1965.0,广州应用科技专修学院(增城校区)|事必咖啡学院|金贝思母婴管理学院,2,1487.0,8.0,25,166,0,,4.0,21,859.0,25,417.0,7.0,该地块位于广州市增城区新江街广南公路旁，用途为商业服务业设施用地(B)，面积11453平方米，起始价2000万元。交通：1.5公里内有2个地铁站，最近1192米；500米内有2个公交站。交通便利评分5.6分。生活配套：500米内有1家餐饮；1公里内有1家超市；3公里内有4家医院。5公里内有9所高校。周边5公里内有25个物流园区。单位面积价格约0.1746万元/平方米。,0.17462246622801503
白云区黄岩村绿中村改造项目开发用地HZN0403地块,二类居住用地(R2),21111.0,13581.0,113.27943,23.16432,7,364.0,大金钟路地铁站B口|大金钟路(地铁站)|中医药大学地铁站D口,7,164.0,18,116,17,2689.0,广州站6-7站台|广州站4-5站台|广州站2-3站台,0,,8.6,2,307.0,2,330.0,25,134.0,25,434.0,广东省第二中医院(白云院区)体检中心|广东省第二中医院(白云院区)黄华楼|广东省第二中医院(白云院区),22,133.0,8.5,25,635.0,广东金融学院广源教学点|奥迪售后服务教育学院|广州中医药大学三元里校区离退休工作处,7,422.0,9.0,25,186,8,3168.0,8.0,25,207.0,25,229.0,7.0,该地块位于白云区黄岩村绿中村改造项目开发用地HZN0403地块，用途为二类居住用地(R2)，面积21111平方米，起始价13581万元。交通：1.5公里内有7个地铁站，最近364米；500米内有7个公交站；5公里内有17个火车站。交通便利评分8.6分。生活配套：500米内有25家餐饮；1公里内有2家超市；3公里内有25家医院。5公里内有25所高校。周边5公里内有25个物流园区、8个工业园区。单位面积价格约0.6433万元/平方米。,0.6433139121784851
广州市黄埔区KXDG-EC-4地块,一类工业用地(M1),59500.0,5725.0,113.48707,23.18749,6,739.0,水西地铁站B口|水西(地铁站)|萝岗地铁站F口,6,140.0,14,107,0,,,0,,6.9,2,305.0,7,381.0,8,119.0,25,390.0,黄埔区萝岗街社区卫生服务中心|长岭街和苑南社区颐康服务站|联创明医中医医院,12,289.0,9.0,3,1819.0,北京师范大学广州实验学校中学部游泳馆|北京师范大学广州实验学校|广东药科大学教学基地,2,1093.0,8.0,25,501,1,4715.0,7.0,25,562.0,25,534.0,7.0,该地块位于广州市黄埔区KXDG-EC-4地块，用途为一类工业用地(M1)，面积59500平方米，起始价5725万元。交通：1.5公里内有6个地铁站，最近739米；500米内有6个公交站。交通便利评分6.9分。生活配套：500米内有8家餐饮；1公里内有7家超市；3公里内有25家医院。5公里内有3所高校。周边5公里内有25个物流园区、1个工业园区。单位面积价格约0.0962万元/平方米。,0.09621848739495799
广州市南沙区万南沙新区片区红树林南侧地块,三类工业用地(K),10159.0,639.0,113.57339,22.80493,0,,,0,,12,392,0,,,0,,1.1,0,,5,813.0,0,,6,807.0,南沙街道坦头村卫生站|南沙街道东瓜宇社区卫生服务站|长龙港医院,11,525.0,5.0,2,3913.0,华南理工大学公开学院广信(北达)校区|华南理工大学华为云学院人工智能(大数据)中心广信分部,1,1518.0,8.0,25,277,0,,4.0,19,466.0,25,630.0,7.0,该地块位于广州市南沙区万南沙新区片区红树林南侧地块，用途为三类工业用地(K)，面积10159平方米，起始价639万元。交通便利评分1.1分。生活配套：1公里内有5家超市；3公里内有6家医院。5公里内有2所高校。周边5公里内有25个物流园区。单位面积价格约0.0629万元/平方米。,0.06289989172162615
高新区西口二层1090、1063B104地块,未明确,20593.0,35012.0,113.48712,23.18754,6,744.0,水西地铁站B口|水西(地铁站)|萝岗地铁站F口,6,145.0,14,106,0,,,0,,6.9,2,313.0,7,378.0,8,123.0,25,391.0,黄埔区萝岗街社区卫生服务中心|长岭街和苑南社区颐康服务站|联创明医中医医院,12,297.0,9.0,3,1812.0,北京师范大学广州实验学校中学部游泳馆|北京师范大学广州实验学校|广东药科大学教学基地,2,1095.0,8.0,25,500,1,4723.0,7.0,25,564.0,25,533.0,7.0,该地块位于高新区西口二层1090、1063B104地块，用途为未明确，面积20593平方米，起始价35012万元。交通：1.5公里内有6个地铁站，最近744米；500米内有6个公交站。交通便利评分6.9分。生活配套：500米内有8家餐饮；1公里内有7家超市；3公里内有25家医院。5公里内有3所高校。周边5公里内有25个物流园区、1个工业园区。单位面积价格约1.7002万元/平方米。,1.7001893847423881
广州市花都区风景名胜路1号，三环路北段112-3702号地块内,一类工业用地,11376.23,1632.0,113.22658,23.41116,2,1125.0,花都广场地铁站C口|花都广场(地铁站),2,489.0,11,99,6,1907.0,花城街站(A出站口)|自动售票处(广州北站)|广州北站无障碍窗口6,0,,7.1,18,399.0,9,263.0,25,152.0,25,643.0,锦东社区卫生服务站|花城东社区卫生服务中心|广州市中西医结合医院住院大楼,25,573.0,9.0,8,1365.0,北京大学广东校友会活动基地|广东培正学院继续教育学院|秀全外国语学校,7,580.0,9.0,25,121,0,,4.0,25,139.0,25,137.0,7.0,该地块位于广州市花都区风景名胜路1号，三环路北段112-3702号地块内，用途为一类工业用地，面积11376平方米，起始价1632万元。交通：1.5公里内有2个地铁站，最近1125米；500米内有2个公交站；5公里内有6个火车站。交通便利评分7.1分。生活配套：500米内有25家餐饮；1公里内有9家超市；3公里内有25家医院。5公里内有8所高校。周边5公里内有25个物流园区。单位面积价格约0.1435万元/平方米。,0.14345701519747756
广州市增城区石碑镇东兴大道北侧,一类工业用地(M),20000.06,2643.0,113.34233,23.40943,0,,,0,,3,651,4,3937.0,白云机场出发层下车点|广州白云国际机场T2航站楼乘坐中国民航飞机临时身份证明办理窗口|白云机场北站,0,,1.8,0,,0,,2,311.0,1,2756.0,白云区钟落潭镇卫生院寮采村卫生站,1,808.0,4.5,3,2455.0,老挝国立大学孔子学院|广州民航职业技术学院(白云机场校区)|广州民航职业技术学院实训基地,1,1163.0,8.0,25,466,0,,4.0,1,1875.0,4,643.0,6.0,该地块位于广州市增城区石碑镇东兴大道北侧，用途为一类工业用地(M)，面积20000平方米，起始价2643万元。交通：5公里内有4个火车站。交通便利评分1.8分。生活配套：500米内有2家餐饮；3公里内有1家医院。5公里内有3所高校。周边5公里内有25个物流园区。单位面积价格约0.1321万元/平方米。,0.13214960355118935
广州市黄埔区YBG-CC-13地块,二类工业用地(M2),6425.29,537.0,113.48707,23.18749,6,739.0,水西地铁站B口|水西(地铁站)|萝岗地铁站F口,6,140.0,14,107,0,,,0,,6.9,2,305.0,7,381.0,8,119.0,25,390.0,黄埔区萝岗街社区卫生服务中心|长岭街和苑南社区颐康服务站|联创明医中医医院,12,289.0,9.0,3,1819.0,北京师范大学广州实验学校中学部游泳馆|北京师范大学广州实验学校|广东药科大学教学基地,2,1093.0,8.0,25,501,1,4715.0,7.0,25,562.0,25,534.0,7.0,该地块位于广州市黄埔区YBG-CC-13地块，用途为二类工业用地(M2)，面积6425平方米，起始价537万元。交通：1.5公里内有6个地铁站，最近739米；500米内有6个公交站。交通便利评分6.9分。生活配套：500米内有8家餐饮；1公里内有7家超市；3公里内有25家医院。5公里内有3所高校。周边5公里内有25个物流园区、1个工业园区。单位面积价格约0.0836万元/平方米。,0.08357599423527966
花都区绿地规划局，新四路民用住宅A081101地块,二类居住用地,3113.38,1312.0,113.60614,23.22932,0,,,1,282.0,8,347,1,1756.0,永宁北站(建设中),0,,4.1,0,,4,549.0,0,,0,,,2,597.0,2.5,1,2109.0,外语外贸大学,2,1218.0,6.0,25,491,0,,4.0,1,1916.0,4,518.0,6.0,该地块位于花都区绿地规划局，新四路民用住宅A081101地块，用途为二类居住用地，面积3113平方米，起始价1312万元。交通：500米内有1个公交站；5公里内有1个火车站。交通便利评分4.1分。生活配套：1公里内有4家超市。5公里内有1所高校。周边5公里内有25个物流园区。单位面积价格约0.4214万元/平方米。,0.4214069596387206
